identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000768,"Mountain View Grammar School, Prudence Cadwell 1915",1915-01-01,"White, C.C.","Teacher Prudence Cadwell, Principal Frank Huff. Seated: Sylvia Syman, Dorothy White, Carlos O'Dell;2nd row: Neuroth, Porter, Paul Cameron. Top: Lewis Burt, Miss Cadwell, Frances McKean, Mr. Huff, Muriel McKean, Winona Stevens, Herbert Graham. Mountain View",PHA S23 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000769,"Mountain View Grammar School, 7th grade, 1915",1915-01-01,Unknown,"7th grade. Top: Estella Morgan, Russell Wright, Effie Williamson, Catherine McKearn, Emma Gulsky, John McKenzie, Laura White, Orval Coleman, Mary Machado, Harry Burke;Second row: Ramsay, Clara Sanguinetti, Louie Hansen, Alma Gardner, Fillmore Rowles, Ada Booher, Theodore, Claribel Graham, Ronaldo Bianchi. Third row: Principal Frank Huff, Don Couch, Gertrude Joseph, C. Dawes, Nefra Axelson, Lillian Darriman, Eva Barnes, James Butler, Maud Kleemeyer (teacher). Bottom: Kellogg, Maurice Nichols, Williams Adams, Ivan Jurian. Mountain View, California.",PHA S24 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000770,"Mountain View Grammar School, 3rd grade, 1916",1916-01-01,Unknown,"3rd grade, Martha Job. Mountain View, California.",PHA S25 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000771,"Mountain View Grammar School, 1st grade, 1916",1916-06-01,Unknown,"1st grade, Miss Klein, teacher. George Lester McPheeters (top row, 4th from right). Taken in front of the town hall, Castro and California. Sts. At this time Miss Klein taught the first grade in a house across the street (Castro). Mountain View, California.",PHA S25 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000772,"Mountain View Grammar School, 7th grade, 1917",1917-01-01,Unknown,"7th grade. Mountain View, California.",PHA S26 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000773,"Mountain View Grammar School, Mrs. Owen, 1917",1917-01-01,Unknown,"3rd grade, Mrs. Owen, teacher, left. Frank Huff, principal. Martha Job, teacher, right. Top: Antoinette Francis. 2nd row: Fern Brown, Florence Wright, Eleanor Logan. Third: Joseph, Alex Cooper, John Hawkins. Mountain View, California.",PHA S26 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000774,"Mountain View Grammar School, 1917",1917-01-01,Unknown,"Mountain View Grammar School. Mountain View, California.",PHA S26 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000775,"Mountain View Grammar School, 3rd grade, 1918",1918-01-01,Unknown,"3rd grade. Mountain View, California.",PHA S28 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000776,"Dana Street School, Miss Kline, 1918",1918-01-01,Unknown,"Victorine Klein, teacher. Mountain View, California.",PHA S28,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000777,"Mountain View Grammar School, 3rd grade, 1918",1918-12-01,Unknown,"Miss Armor, 3rd grade. Mountain View, California.",PHA S29 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000778,"Mountain View Grammar School, 3rd grade, 1918",1918-01-01,Unknown,"3rd grade, Eldora Freeman (teacher). Mountain View, California.",PHA S29 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000779,"Mountain View Grammar School, Miss Freeman, 1918",1918-01-01,Unknown,"Miss Freeman, 3rd grade. Mountain View, California.",PHA S29,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000780,"Mountain View Grammar School, 4th grade 1918",1918-01-01,Unknown,"4th grade. Mountain View, California.",PHA S30 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000781,"Mountain View Grammar School, 1918",1918-01-01,Unknown,"4th grade. Mountain View, California.",PHA S30 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000782,"Mountain View Grammar School, 8th grade, 1918",1918-01-01,Unknown,"8th grade. Leon Couch, Orville Coleman, Miss Maud Kleemeyer, Beulah Joseph, Shirley Jackson, Marion Regli, Frank Huff (principal), Richard Regli, Baldo Tutman, Harry Burke, carlyle, Pinky Taylor, Raymond Taylor, Gertrude Lewis, Hilda Devecci, Al Silva, Genevieve Granger, carlyle, Richard Lewis, Roland Parmenter, Della Burz. Mountain View, California.",PHA S31 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000783,"Mountain View Grammar School, 7th grade, 1919",1919-01-01,Unknown,"7th grade, Miss Marie Logue. Pearl Foster, M. Nunes, Milo Willaman, Edison French, George McPheeters, Jim Bakotich, Edwina Mead, Ava Jelavich, Claire Dale, Kay Ehrhorn, Julie Robbman, Harold Skinner, Ted Beardslee, Chester Maccono. Mountain View, California.",PHA S32,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000784,"Mountain View Grammar School, 1919",1919-01-01,Unknown,"Miss Inez Carter, far left. Frank Huff (principal), far right. Mountain View, California.",PHA S32,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000785,"Mountain View Grammar School, 1919, Miss Carter",1919-01-01,Unknown,"Florence Regli (tall girl), Miss Inez Carter, end of row. Mountain View, California.",PHA S32,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000786,Mountain View Grammar School,1919-01-01,Unknown,"3rd grade. Mountain View, California.",PHA S32 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000787,"Mountain View Grammar School, 2nd grade, 1919",1919-01-01,Unknown,"2nd grade. Mountain View, California.",PHA S32 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000788,"Mountain View Grammar School, 4th grade, 1921",1921-01-01,Unknown,"4rd grade, Mrs. Davey. Mountain View, California.",PHA S33 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000789,"Mountain View Grammar School, 8th Grade, 1920",1920-11-30,Unknown,"Mrs. McClusky, Principal Kenneth Slater. 8th grade. Cristiano Castro in photo. Mountain View, California.",PHA S34 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000790,"Mountain View Grammar School, 5th grade, 1920",1920-01-01,Unknown,"5th grade, Miss Clark. Bottom row: Roy Simon, Earl Pense, George McPheeters, Chester Mascono, Glenn Vaspender, Edward Beardsley, Robert Awalt, George Armini, Alfred Hastie, Mary Duarte, Claire M. Dale, Muriel Clark, Lucy Casaco, Kathryn Erwin, Patricia Awalt, Ruth Lowmiller, Helen Larson, Victoria, Harold Skinner. 3rd row: Jack, Rudolph California.valy, Eleanor Levin, Marie Robbinana, Helen O'Dell, Pearl Foster, Julia Robbinana, Vera Dean, Ina Jelavich, Miss Clark, Louie Peas, Milo Williamson, Daniel Marsue, Donald Levin, Antoinette Frances, Gladys Graff, Mary Nunes, Della Mangini, Richard Mendosa Matt Popervich, Harry Wheeler, Henry Kymora. Mountain View, California.",PHA S34 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000791,"Mountain View Grammar School, 1905",1905-04-04,Unknown,"Miss Gardner, George Viscovich, Lawrence Jelavich, John Kuhle, Norman Burtley, Adele Escoble, Mary Janovich, Margaret Vedovich, George Mellovina, Fusaye Sakiv, Mary Murker, Mary Radisch, Anna Popovich, Mary Dedo, Mary Rudich, Anna Glumaz, Laurence, Frank Shraki, Katsumi. Mountain View, California.",PHA S34.7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000792,"Mountain View Grammar School, 5th grade, 1921",1921-01-01,Unknown,"Mountain View Grammar School, 5th grade. Mountain View, California.",PHA S35,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000793,"Mountain View Grammar School, 1921",1921-01-01,Unknown,"4th grade, Mr. Slater, Principal. Mountain View, California.",PHA S35 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000794,"Mountain View Grammar School, 1920",1920-01-01,Unknown,"Mountain View Grammar School. Mountain View, California.",PHA S36,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000795,"Mountain View Grammar School, 8th grade, 1922",1922-01-01,Unknown,"Miss Wibel, 8th grade. Ken Slater, principal. Mountain View. Top: George Lynch, Ted Beardslee, Matt Popovich, George McPheeters, Matt Popovich, Victor Williamson, Joe Joseph, Henry Kiyomura, George Armanini, Earl Pence, John Ma, Kenneth Slater. 2nd row: Antoinette Frances, Oma Patterson, Muriel Clark, Kate Ehhorn, Alice Lawrence, Edina Meade, Verna Fredericksen, Claire Dale, Martha Macovich, Doris Moore, Patricia Awalt. 3rd row: Hazel Erwin, Alice Endo, Mary Duarte, Ruth Lawmiller, Grace O'Dell, Vera Dean, Pearl Foster, Mary Pedrone, Julia Robiano, Iva Jelavich, Alma Stocker, Vera Porter. 4th row: Dante Berta, Robert Awalt, Jim Bakotich, Glen Vastbinder, Miles Cooper, Jack Watanabe, Donald Pihl, Ted Henderson, Chester Maccone, Lloyd Beach, Alfred Hastie, Carrol. Mountain View, California.",PHA S36 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
